facility_id,facility_name,msha_identification_number,facility_name_state
1009758,TILLER NO.1 DEEP MINE,4406804,
1009760,WYOMING 2 MINE,4606263,
1010362,SHAY #1 MINE,1100726,SHAY #1 MINE
1010048,RUBY ENERGY,4608808,
1010056,"WEBSTER COUNTY COAL, LLC",1502132,
1009850,DUGOUT CANYON MINE,4201890,DUGOUT CANYON MINE
1011472,"CARTER ROAG COAL COMPANY, INC. - PLEASANT HILL MINE",4608194,
1003751,CARLISLE MINE,1202349,
1013967,ROAD FORK 52,4609522,
1001686,WILDCAT HILLS MINE,1103156,
1010124,ROAD FORK NO. 51 MINE,4601544,
1012109,CCU COAL AND CONSTRUCTION LLC,NaN,
1007528,"MATRIX ENERGY, LLC",1518575,
1007168,GENESIS MINE,1519535,
1005764,MONONGALIA COUNTY MINE,4601968,MONONGALIA COUNTY MINE
1001682,TWENTYMILE MINE,503836,
1013016,CARTER ROAG COAL COMPANY - MORGAN CAMP MINE,4608656,
1011909,HEILWOOD MINE,3609407,
1014367,KNOB CREEK MINE,3609394,
1014471,"NEW ELK COAL COMPANY, LLC",504975,
1007472,LEER SOUTH MINING COMPLEX,4604168,LEER SOUTH
1011886,GATEWAY NORTH MINE,1103235,GATEWAY NORTH MINE
1014015,CEDAR GROVE #2 MINE,4609361,
1007174,"ICG BECKLEY, LLC",4605252,BECKLEY POCAHONTAS
1013982,BLACK EAGLE DEEP MINE,4609550,BLACK EAGLE MINE
1003058,OAKTOWN FUELS MINE NO.1,1202394,
1013900,CONSOL ENERGY ITMANN #5,4609569,
1001687,BLUE DIAMOND MINING MINE 77,1509636,
1004512,OAK GROVE MINE,100851,OAK GROVE MINE
1013994,LYNN BRANCH NO.2 MINE,4609575,
1005297,KEPLER PROCESSING CO POCAHONTAS NO 51 COAL PREP PLANT,4609522,
1005297,KEPLER PROCESSING CO POCAHONTAS NO 51 COAL PREP PLANT,4604637,
1013481,JERRY FORK DEEP MINE,4608787,
1001684,FRANCISCO UNDERGROUND MINE,1202295,
1013995,DAVY BRANCH MINE,4609574,
1005761,BAILEY MINE-CRABAPPLE PORTAL,3607230,BAILEY MINE
1001887,PRAIRIE STATE GENERATING STATION,1103193,LIVELY GROVE MINE
1013071,CROOKED CREEK MINE,3609972,
1013783,WARRIOR MET COAL MINE #4,101247,MINE NO 4
1010310,WEST ELK MINE,503672,WEST ELK
1009895,MINGO LOGAN COAL LLC,4609029,
1010323,AMERICAN EAGLE,4605437,
1010328,"WARRIOR MET COAL, LLC",101401,NO 7
1009877,"IRON EMERALD, LLC",3605466,EMERALD
1010341,EAGLE,4608759,
1009887,"IRON CUMBERLAND, LLC",3605018,CUMBERLAND
1009920,ALMA NO. 1 MINE,4608801,
1010263,"SUGAR CAMP ENERGY, LLC",1103189,MC#1 MINE
1010106,CENTURY MINE,3301070,
1010125,CLEVELAND-CLIFFS PRINCETON COAL,4609261,
1010057,"WARRIOR COAL, LLC",1517216,
1010193,PEERLESS,4609258,
1010040,15-18565/15-18662,1518565,
1010040,15-18565/15-18662,1518662,
1010198,POND CREEK NO. 1 MINE,1103141,MACH #1 MINE
1009948,"GIBSON COUNTY COAL, LLC",1202215,
1009948,"GIBSON COUNTY COAL, LLC",1202388,
1009828,"TUNNEL RIDGE, LLC",4608864,TUNNEL RIDGE
1009821,DEEP MINE 41,4407223,
1011471,"POCAHONTAS COAL COMPANY, LLC - AFFINITY MINE",4608878,
1008760,MARION COUNTY MINE,4601433,MARION COUNTY MINE
1010111,LOWRY MINE,3609287,
1011503,HARVEY MINE,3610045,HARVEY MINE
1008757,ENLOW FORK MINE,3607416,ENLOW FORK
1011516,DEER RUN MINE,1103182,DEER RUN MINE
1008388,VIPER MINE,1102664,VIPER MINE
1011739,PRIDE MINE,4202241,
1008761,MARSHALL COUNTY MINE,4601437,MARSHALL COUNTY MINE
1008387,BUCHANAN MINE #1,4404856,BUCHANAN MINE
1010656,LOWER WAR EAGLE DEEP MINE,4609319,LOWER WAR EAGLE MINE
1009600,SHOAL CREEK MINE,102901,SHOAL CREEK MINE
1010871,LEER MINE,4609192,
1009342,SAN JUAN MINE,2902170,SAN JUAN MINE
1011220,PRAIRIE EAGLE MINE,1103147,PRAIRIE EAGLE
1008766,OHIO COUNTY MINE,4601436,
1011237,WHITE OAK RESOURCES MINE NO. 1/HAMILTON COUNTY COAL,1103203,MINE NO. 1
1008764,HARRISON COUNTY MINE,4601318,HARRISON COUNTY MINE
1011240,OAKTOWN FUELS MINE NO. 2,1202418,
1014681,CEDAR GROVE NO.3 MINE,4609611,
,CARDINAL OPERATING POWER PLANT,,CARDINAL OPERATING POWER PLANT
,ELK CREEK,,ELK CREEK
,FEDERAL #2 MINE,4601456,FEDERAL #2 MINE
,GALATIA MINE,1102752,GALATIA MINE
,HOPEDALE MINE,3300968,HOPEDALE MINE
,JIM WALTER NO 5,101322,JIM WALTER NO 5
,MCCOY ELKHORN COAL,,MCCOY ELKHORN COAL
,OIL AND GAS,,OIL AND GAS
,SEARLES MINE NO 8,101322,SEARLES MINE NO 8
,SKYLINE MINE,4201566,SKYLINE MINE
,UNKNOWN MINE,,UNKNOWN MINE