date,name,value
"""2021-02-01""",min_value,3770
"""2021-02-01""",max_value,6682
"""2021-02-01""",ub,5011
"""2021-02-01""",lb,6182
"""2021-02-01""",mean_value,5596
"""2022-01-26""",min_value,5016
"""2022-01-26""",max_value,7249
"""2022-01-26""",ub,6440
"""2022-01-26""",lb,7035
"""2022-01-26""",mean_value,6738
"""2022-03-02""",min_value,4319
"""2022-03-02""",max_value,5028
"""2022-03-02""",ub,4414
"""2022-03-02""",lb,4759
"""2022-03-02""",mean_value,4586
"""2022-11-24""",min_value,3040
"""2022-11-24""",max_value,4339
"""2022-11-24""",ub,3194
"""2022-11-24""",lb,3648
"""2022-11-24""",mean_value,3421
"""2023-03-20""",min_value,2620
"""2023-03-20""",max_value,2620
"""2023-03-20""",ub,2620
"""2023-03-20""",lb,2620
"""2023-03-20""",mean_value,2620
"""2023-03-25""",min_value,2661
"""2023-03-25""",max_value,2661
"""2023-03-25""",ub,2661
"""2023-03-25""",lb,2661
"""2023-03-25""",mean_value,2661
"""2023-06-26""",min_value,3192
"""2023-06-26""",max_value,3826
"""2023-06-26""",ub,3343
"""2023-06-26""",lb,3722
"""2023-06-26""",mean_value,3533
"""2023-08-23""",min_value,2151
"""2023-08-23""",max_value,2386
"""2023-08-23""",ub,2218
"""2023-08-23""",lb,2374
"""2023-08-23""",mean_value,2296